Tarih,Ort_Sicaklik,Hafta_Sonu,Su_Tuketimi_m3
2004-10-24,16.0,1,126229
2004-10-25,12.9,0,117215
2004-10-26,12.6,0,122498
2004-10-27,14.0,0,123111
2004-10-28,11.0,0,121076
2004-10-29,17.1,0,119172
2004-10-30,12.2,1,117413
2004-10-31,12.4,1,115742
2004-11-01,12.8,0,115681
2004-11-02,13.3,0,113591
2004-11-03,11.2,0,123759
2004-11-04,14.0,0,115360
2004-11-05,13.5,0,117928
2004-11-06,4.6,1,116693
2004-11-07,6.7,1,115998
2004-11-08,7.8,0,113077
2004-11-09,9.3,0,111995
2004-11-10,11.5,0,112520
2004-11-11,3.3,0,110158
2004-11-12,3.6,0,118382
2004-11-13,9.6,1,117478
2004-11-14,7.4,1,118400
2004-11-15,12.9,0,111065
2004-11-16,11.4,0,109500
2004-11-17,4.4,0,109137
2004-11-18,2.2,0,110970
2004-11-19,6.1,0,108444
2004-11-20,4.2,1,115931
2004-11-21,3.9,1,115283
2004-11-22,3.0,0,109202
2004-11-23,3.4,0,108393
2004-11-24,11.6,0,109754
2004-11-25,4.2,0,110658
2004-11-26,3.6,0,109573
2004-11-27,7.6,1,111273
2004-11-28,4.7,1,113225
2004-11-29,-2.2,0,104965
2004-11-30,3.5,0,107670
2004-12-01,7.4,0,110411
2004-12-02,6.3,0,98325
2004-12-03,-2.7,0,106242
2004-12-04,3.5,1,111941
2004-12-05,1.8,1,112845
2004-12-06,5.2,0,99635
2004-12-07,3.1,0,107504
2004-12-08,-1.4,0,107994
2004-12-09,6.0,0,101568
2004-12-10,6.1,0,96910
2004-12-11,7.6,1,106601
2004-12-12,3.3,1,107677
2004-12-13,7.0,0,96681
2004-12-14,0.1,0,101596
2004-12-15,-3.8,0,100943
2004-12-16,0.6,0,106229
2004-12-17,2.8,0,99070
2004-12-18,-1.6,1,104925
2004-12-19,1.9,1,106579
2004-12-20,1.9,0,108127
2004-12-21,-2.3,0,103748
2004-12-22,0.3,0,101841
2004-12-23,1.3,0,100838
2004-12-24,-4.2,0,103912
2004-12-25,3.2,1,96915
2004-12-26,2.3,1,102541
2004-12-27,-4.7,0,102922
2004-12-28,3.6,0,100424
2004-12-29,-2.5,0,103719
2004-12-30,-0.7,0,100021
2004-12-31,-3.8,0,98764
2005-01-01,-1.8,1,107534
2005-01-02,-4.1,1,104956
2005-01-03,-2.6,0,91690
2005-01-04,-0.8,0,96574
2005-01-05,1.7,0,97727
2005-01-06,3.4,0,99681
2005-01-07,-2.2,0,96740
2005-01-08,6.2,1,103315
2005-01-09,2.5,1,98813
2005-01-10,1.6,0,98960
2005-01-11,0.9,0,92942
2005-01-12,1.1,0,94351
2005-01-13,-3.2,0,98843
2005-01-14,0.6,0,98797
2005-01-15,1.1,1,102262
2005-01-16,-0.4,1,106825
2005-01-17,1.5,0,105443
2005-01-18,1.1,0,99593
2005-01-19,-3.5,0,95561
2005-01-20,-0.4,0,92343
2005-01-21,4.7,0,102471
2005-01-22,-3.4,1,104700
2005-01-23,-5.0,1,101326
2005-01-24,1.4,0,97164
2005-01-25,4.8,0,105868
2005-01-26,0.5,0,96476
2005-01-27,5.9,0,98012
2005-01-28,-0.8,0,95559
2005-01-29,-1.3,1,99252
2005-01-30,-0.5,1,104439
2005-01-31,-6.7,0,97041
2005-02-01,-0.8,0,96899
2005-02-02,-0.3,0,103782
2005-02-03,5.5,0,99159
2005-02-04,-3.5,0,98606
2005-02-05,1.1,1,109014
2005-02-06,1.1,1,102337
2005-02-07,-1.3,0,92446
2005-02-08,3.2,0,100982
2005-02-09,0.9,0,98809
2005-02-10,3.0,0,101289
2005-02-11,-0.3,0,102802
2005-02-12,1.9,1,104821
2005-02-13,-0.3,1,104398
2005-02-14,-1.5,0,100610
2005-02-15,-5.0,0,101181
2005-02-16,1.3,0,97215
2005-02-17,-0.9,0,99118
2005-02-18,-3.1,0,104525
2005-02-19,1.1,1,104244
2005-02-20,-2.1,1,106421
2005-02-21,3.8,0,102691
2005-02-22,3.4,0,107686
2005-02-23,7.7,0,98928
2005-02-24,4.5,0,99340
2005-02-25,2.1,0,101212
2005-02-26,2.5,1,108139
2005-02-27,-0.3,1,110891
2005-02-28,11.5,0,104093
2005-03-01,0.5,0,95887
2005-03-02,6.3,0,102650
2005-03-03,6.5,0,107836
2005-03-04,-0.1,0,107879
2005-03-05,8.2,1,109866
2005-03-06,-2.3,1,114919
2005-03-07,8.0,0,108856
2005-03-08,3.4,0,104611
2005-03-09,5.9,0,105874
2005-03-10,6.4,0,107082
2005-03-11,9.9,0,104672
2005-03-12,2.1,1,108089
2005-03-13,-2.8,1,109548
2005-03-14,0.8,0,104294
2005-03-15,6.9,0,110482
2005-03-16,2.7,0,107008
2005-03-17,3.1,0,108093
2005-03-18,6.3,0,107299
2005-03-19,5.3,1,119788
2005-03-20,5.5,1,117545
2005-03-21,5.0,0,115243
2005-03-22,7.1,0,108592
2005-03-23,6.8,0,112807
2005-03-24,7.3,0,112006
2005-03-25,9.5,0,113213
2005-03-26,13.0,1,111938
2005-03-27,3.2,1,119033
2005-03-28,7.7,0,112584
2005-03-29,9.3,0,115282
2005-03-30,7.0,0,117661
2005-03-31,12.1,0,113302
2005-04-01,14.4,0,116675
2005-04-02,10.3,1,124035
2005-04-03,12.8,1,123037
2005-04-04,6.3,0,110463
2005-04-05,13.9,0,118860
2005-04-06,10.2,0,115244
2005-04-07,15.0,0,115535
2005-04-08,9.5,0,115569
2005-04-09,8.3,1,120493
2005-04-10,12.5,1,122017
2005-04-11,11.7,0,125563
2005-04-12,6.5,0,125715
2005-04-13,13.4,0,120426
2005-04-14,10.6,0,122554
2005-04-15,15.4,0,122031
2005-04-16,7.0,1,122832
2005-04-17,10.6,1,129074
2005-04-18,15.4,0,124492
2005-04-19,10.1,0,127796
2005-04-20,16.6,0,128726
2005-04-21,20.0,0,125912
2005-04-22,16.8,0,123800
2005-04-23,20.2,1,125879
2005-04-24,20.4,1,132186
2005-04-25,18.5,0,127134
2005-04-26,19.1,0,128955
2005-04-27,16.8,0,125457
2005-04-28,15.0,0,128533
2005-04-29,18.4,0,131024
2005-04-30,17.4,1,134758
2005-05-01,15.1,1,135332
2005-05-02,19.0,0,130324
2005-05-03,19.4,0,130752
2005-05-04,17.2,0,128567
2005-05-05,13.0,0,125654
2005-05-06,18.2,0,131792
2005-05-07,22.2,1,131908
2005-05-08,21.4,1,138772
2005-05-09,15.6,0,133415
2005-05-10,18.1,0,130183
2005-05-11,20.6,0,134348
2005-05-12,15.3,0,136125
2005-05-13,22.6,0,131041
2005-05-14,22.4,1,140484
2005-05-15,25.8,1,134992
2005-05-16,23.0,0,136779
2005-05-17,25.5,0,132688
2005-05-18,23.1,0,137009
2005-05-19,26.4,0,134200
2005-05-20,24.5,0,131523
2005-05-21,27.5,1,140767
2005-05-22,17.2,1,135213
2005-05-23,22.4,0,132001
2005-05-24,18.1,0,138885
2005-05-25,19.1,0,134256
2005-05-26,25.5,0,138148
2005-05-27,20.3,0,134415
2005-05-28,26.5,1,149139
2005-05-29,25.9,1,148689
2005-05-30,21.5,0,140049
2005-05-31,23.3,0,138869
2005-06-01,25.8,0,134748
2005-06-02,28.1,0,140219
2005-06-03,29.4,0,142865
2005-06-04,29.5,1,149480
2005-06-05,26.0,1,144568
2005-06-06,27.7,0,138359
2005-06-07,25.4,0,149099
2005-06-08,27.4,0,142124
2005-06-09,25.9,0,143533
2005-06-10,26.1,0,147176
2005-06-11,29.3,1,150543
2005-06-12,31.0,1,148397
2005-06-13,30.4,0,144769
2005-06-14,28.6,0,138083
2005-06-15,29.9,0,144639
2005-06-16,23.4,0,146145
2005-06-17,26.8,0,146081
2005-06-18,32.2,1,149552
2005-06-19,30.0,1,152131
2005-06-20,30.0,0,147045
2005-06-21,27.7,0,145928
2005-06-22,28.9,0,151413
2005-06-23,31.6,0,149367
2005-06-24,29.2,0,152768
2005-06-25,30.1,1,152277
2005-06-26,29.0,1,151499
2005-06-27,29.0,0,151215
2005-06-28,30.4,0,141882
2005-06-29,31.4,0,149444
2005-06-30,24.3,0,151919
2005-07-01,33.0,0,154161
2005-07-02,35.2,1,157390
2005-07-03,32.8,1,155350
2005-07-04,31.6,0,149086
2005-07-05,29.5,0,150772
2005-07-06,35.0,0,156098
2005-07-07,23.7,0,149484
2005-07-08,30.6,0,150195
2005-07-09,33.8,1,159056
2005-07-10,31.6,1,157415
2005-07-11,30.8,0,152969
2005-07-12,34.2,0,154243
2005-07-13,31.4,0,145824
2005-07-14,31.0,0,149402
2005-07-15,31.8,0,150570
2005-07-16,32.5,1,156199
2005-07-17,28.3,1,159329
2005-07-18,27.0,0,149934
2005-07-19,37.6,0,156927
2005-07-20,28.8,0,143140
2005-07-21,29.8,0,146620
2005-07-22,29.8,0,147960
2005-07-23,32.8,1,156728
2005-07-24,25.8,1,154832
2005-07-25,32.4,0,153474
2005-07-26,27.9,0,147453
2005-07-27,30.9,0,150229
2005-07-28,30.7,0,147317
2005-07-29,31.6,0,149356
2005-07-30,32.2,1,158231
2005-07-31,36.3,1,165947
2005-08-01,27.5,0,147016
2005-08-02,29.1,0,142042
2005-08-03,29.5,0,147981
2005-08-04,29.0,0,152050
2005-08-05,33.9,0,155109
2005-08-06,29.3,1,153127
2005-08-07,25.8,1,150569
2005-08-08,28.6,0,144538
2005-08-09,32.5,0,149319
2005-08-10,35.8,0,160213
2005-08-11,30.9,0,153904
2005-08-12,31.8,0,149222
2005-08-13,25.6,1,150450
2005-08-14,32.5,1,153620
2005-08-15,28.3,0,146292
2005-08-16,25.3,0,145340
2005-08-17,29.3,0,146401
2005-08-18,30.4,0,152684
2005-08-19,33.2,0,154418
2005-08-20,30.4,1,150933
2005-08-21,26.1,1,146939
2005-08-22,30.3,0,144693
2005-08-23,34.0,0,152587
2005-08-24,30.3,0,148212
2005-08-25,34.3,0,152369
2005-08-26,26.5,0,142237
2005-08-27,27.1,1,154610
2005-08-28,27.6,1,144815
2005-08-29,28.2,0,140797
2005-08-30,25.0,0,143628
2005-08-31,25.7,0,142349
2005-09-01,27.9,0,148909
2005-09-02,24.8,0,144554
2005-09-03,23.1,1,148495
2005-09-04,27.2,1,152509
2005-09-05,23.2,0,134084
2005-09-06,28.7,0,145641
2005-09-07,28.7,0,138746
2005-09-08,25.8,0,136723
2005-09-09,27.7,0,143811
2005-09-10,27.9,1,142397
2005-09-11,21.4,1,148343
2005-09-12,29.0,0,139277
2005-09-13,23.4,0,141099
2005-09-14,26.3,0,140775
2005-09-15,28.0,0,139618
2005-09-16,17.6,0,137955
2005-09-17,17.9,1,142497
2005-09-18,23.1,1,148648
2005-09-19,27.1,0,133304
2005-09-20,17.3,0,140956
2005-09-21,20.7,0,138264
2005-09-22,19.0,0,133540
2005-09-23,19.9,0,132051
2005-09-24,22.0,1,141763
2005-09-25,17.8,1,139456
2005-09-26,27.3,0,137676
2005-09-27,20.9,0,137564
2005-09-28,23.1,0,135067
2005-09-29,24.4,0,136534
2005-09-30,26.6,0,133468
2005-10-01,18.2,1,139812
2005-10-02,24.7,1,131903
2005-10-03,21.5,0,131168
2005-10-04,25.2,0,129150
2005-10-05,21.2,0,129065
2005-10-06,18.6,0,123695
2005-10-07,17.5,0,131024
2005-10-08,11.4,1,141037
2005-10-09,12.1,1,135331
2005-10-10,17.0,0,127119
2005-10-11,17.6,0,130419
2005-10-12,19.1,0,127715
2005-10-13,18.1,0,128456
2005-10-14,18.6,0,128370
2005-10-15,12.4,1,128310
2005-10-16,11.9,1,130602
2005-10-17,12.2,0,125719
2005-10-18,13.9,0,130723
2005-10-19,18.0,0,127733
2005-10-20,12.4,0,129205
2005-10-21,13.8,0,124213
2005-10-22,13.0,1,129902
2005-10-23,14.7,1,129916
2005-10-24,17.0,0,127315
2005-10-25,18.4,0,126588
2005-10-26,15.8,0,120344
2005-10-27,11.3,0,125215
2005-10-28,9.3,0,117427
2005-10-29,11.5,1,126126
2005-10-30,13.8,1,129025
2005-10-31,13.1,0,121137
2005-11-01,9.4,0,119822
2005-11-02,7.2,0,119397
2005-11-03,7.4,0,116126
2005-11-04,9.8,0,117392
2005-11-05,2.7,1,112069
2005-11-06,5.2,1,123799
2005-11-07,2.8,0,116411
2005-11-08,11.6,0,117196
2005-11-09,18.1,0,113938
2005-11-10,8.4,0,120079
2005-11-11,8.1,0,114413
2005-11-12,6.6,1,123537
2005-11-13,8.9,1,122525
2005-11-14,10.7,0,113001
2005-11-15,6.1,0,116144
2005-11-16,8.8,0,112822
2005-11-17,10.5,0,111805
2005-11-18,8.6,0,109656
2005-11-19,6.5,1,118861
2005-11-20,3.8,1,110772
2005-11-21,5.5,0,110148
2005-11-22,-2.3,0,110115
2005-11-23,9.6,0,108982
2005-11-24,13.4,0,112746
2005-11-25,10.0,0,106593
2005-11-26,6.0,1,115041
2005-11-27,9.1,1,114939
2005-11-28,5.9,0,110307
2005-11-29,1.5,0,112098
2005-11-30,5.0,0,107747
2005-12-01,6.3,0,112513
2005-12-02,3.2,0,113169
2005-12-03,1.4,1,108646
2005-12-04,5.9,1,108186
2005-12-05,2.8,0,108718
2005-12-06,6.9,0,105167
2005-12-07,-0.2,0,110376
2005-12-08,-0.6,0,108240
2005-12-09,3.7,0,108438
2005-12-10,2.6,1,113231
2005-12-11,5.5,1,108492
2005-12-12,0.1,0,109688
2005-12-13,0.3,0,107313
2005-12-14,-1.5,0,104435
2005-12-15,1.2,0,99273
2005-12-16,4.7,0,107082
2005-12-17,3.5,1,106331
2005-12-18,3.8,1,108165
2005-12-19,-5.5,0,104208
2005-12-20,1.4,0,102012
2005-12-21,-4.8,0,103614
2005-12-22,7.1,0,105588
2005-12-23,-6.5,0,106462
2005-12-24,7.2,1,107409
2005-12-25,0.2,1,107460
2005-12-26,0.0,0,103011
2005-12-27,1.4,0,101891
2005-12-28,-2.0,0,102625
2005-12-29,-0.4,0,106564
2005-12-30,-0.9,0,103535
2005-12-31,1.0,1,107649
2006-01-01,-4.6,1,97541
2006-01-02,-0.9,0,103904
2006-01-03,-4.2,0,101396
2006-01-04,-0.2,0,103936
2006-01-05,3.2,0,100016
2006-01-06,-1.1,0,98060
2006-01-07,-0.7,1,104622
2006-01-08,1.1,1,105637
2006-01-09,-0.6,0,94199
2006-01-10,-2.1,0,96116
2006-01-11,0.6,0,95455
2006-01-12,-4.1,0,98839
2006-01-13,1.4,0,102932
2006-01-14,1.7,1,106506
2006-01-15,-4.0,1,101410
2006-01-16,-3.9,0,102425
2006-01-17,0.4,0,100098
2006-01-18,0.6,0,106038
2006-01-19,-1.2,0,99993
2006-01-20,1.1,0,105579
2006-01-21,-1.4,1,103273
2006-01-22,-2.9,1,104983
2006-01-23,-3.2,0,98732
2006-01-24,-0.3,0,100902
2006-01-25,-5.1,0,103113
2006-01-26,-1.8,0,103170
2006-01-27,3.0,0,106009
2006-01-28,-1.0,1,103185
2006-01-29,-2.3,1,108356
2006-01-30,-4.7,0,103379
2006-01-31,-1.4,0,101188
2006-02-01,2.3,0,99596
2006-02-02,0.5,0,105155
2006-02-03,-3.9,0,102168
2006-02-04,2.2,1,112114
2006-02-05,2.2,1,105677
2006-02-06,-1.5,0,102850
2006-02-07,3.9,0,103770
2006-02-08,1.9,0,100017
2006-02-09,-3.4,0,97376
2006-02-10,2.4,0,103351
2006-02-11,4.7,1,100452
2006-02-12,1.4,1,106162
2006-02-13,1.9,0,110043
2006-02-14,5.2,0,101509
2006-02-15,-1.2,0,105212
2006-02-16,2.5,0,102989
2006-02-17,1.0,0,108857
2006-02-18,4.5,1,105394
2006-02-19,3.6,1,116318
2006-02-20,1.3,0,102378
2006-02-21,5.2,0,107525
2006-02-22,1.9,0,103999
2006-02-23,0.6,0,107799
2006-02-24,3.9,0,104110
2006-02-25,2.2,1,111668
2006-02-26,-2.6,1,114167
2006-02-27,3.1,0,104920
2006-02-28,4.1,0,107279
2006-03-01,0.8,0,110831
2006-03-02,5.9,0,101739
2006-03-03,4.3,0,103147
2006-03-04,3.3,1,114147
2006-03-05,-1.1,1,108533
2006-03-06,8.1,0,112512
2006-03-07,4.3,0,111706
2006-03-08,4.0,0,105767
2006-03-09,4.2,0,112949
2006-03-10,6.4,0,107375
2006-03-11,3.9,1,117841
2006-03-12,4.9,1,118077
2006-03-13,7.5,0,114630
2006-03-14,4.7,0,113500
2006-03-15,5.6,0,110276
2006-03-16,7.2,0,110368
2006-03-17,4.7,0,113110
2006-03-18,4.7,1,117353
2006-03-19,10.4,1,118726
2006-03-20,8.4,0,108290
2006-03-21,5.4,0,114121
2006-03-22,5.7,0,112364
2006-03-23,10.0,0,118789
2006-03-24,11.9,0,115521
2006-03-25,8.2,1,121346
2006-03-26,6.4,1,117302
2006-03-27,8.2,0,110403
2006-03-28,4.4,0,114105
2006-03-29,9.0,0,115911
2006-03-30,13.9,0,118345
2006-03-31,10.6,0,117729
2006-04-01,9.5,1,119955
2006-04-02,14.1,1,126578
2006-04-03,8.8,0,122227
2006-04-04,15.9,0,120506
2006-04-05,13.4,0,125184
2006-04-06,13.2,0,120739
2006-04-07,12.0,0,119246
2006-04-08,17.6,1,127274
2006-04-09,15.3,1,132257
2006-04-10,15.5,0,127547
2006-04-11,8.3,0,126234
2006-04-12,14.8,0,122026
2006-04-13,16.3,0,119694
2006-04-14,12.7,0,123380
2006-04-15,18.7,1,132974
2006-04-16,15.4,1,127923
2006-04-17,13.1,0,124612
2006-04-18,15.2,0,129482
2006-04-19,13.8,0,128177
2006-04-20,16.0,0,123761
2006-04-21,16.5,0,131711
2006-04-22,18.0,1,131839
2006-04-23,18.7,1,130419
2006-04-24,16.7,0,129109
2006-04-25,18.4,0,132516
2006-04-26,18.3,0,133231
2006-04-27,17.1,0,135912
2006-04-28,18.1,0,131656
2006-04-29,17.6,1,136640
2006-04-30,16.3,1,134511
2006-05-01,14.0,0,134868
2006-05-02,16.6,0,131960
2006-05-03,18.5,0,132940
2006-05-04,18.7,0,136057
2006-05-05,20.1,0,133877
2006-05-06,21.3,1,143465
2006-05-07,19.7,1,140072
2006-05-08,21.4,0,136157
2006-05-09,25.7,0,136163
2006-05-10,19.6,0,132586
2006-05-11,21.9,0,139087
2006-05-12,23.4,0,139566
